Rows,Cols,Exact Algorithm Leaves,Exact Algorithm Time,Approx Algorithm Leaves,Approx Algorithm Time,BFS Leaves,BFS Time,Priority BFS Leaves,Priority BFS Time,Max Priority BFS Leaves,Max Priority BFS Time,Simulated Annealing Leaves,Simulated Annealing Time,Edges,Nodes
4,4,9,0.109243297576904,8,0.00649964809417725,4,0.00602312088012695,8,0.00614602565765381,9,0.00647437572479248,8,0.0323154449462891,24,16
4,5,11,0.649595427513123,11,0.00678143501281738,4,0.00651326179504395,11,0.00650074481964111,11,0.00684478282928467,10,0.0386529922485352,31,20
4,6,14,3.62621366977692,13,0.00648517608642578,4,0.00620014667510986,14,0.00640237331390381,14,0.0062002420425415,12.1,0.0436106204986572,38,24
4,7,16,20.209774851799,15,0.00655078887939453,4,0.00674209594726563,16,0.00687253475189209,16,0.00692408084869385,14,0.0496201038360596,45,28
4,8,18,105.608762431145,17,0.00692658424377441,4,0.00670733451843262,18,0.00693070888519287,18,0.00727097988128662,16.1,0.0553619623184204,52,32
4,9,21,542.867700910568,19,0.00721290111541748,4,0.00695919990539551,20,0.00685367584228516,21,0.00734825134277344,17.6,0.0652484893798828,59,36
5,5,14,6.43420073986053,14,0.00704467296600342,5,0.00698990821838379,14,0.00667645931243896,14,0.00718281269073486,12.9,0.0467998266220093,40,25
5,6,18,58.822887969017,16,0.00717713832855225,5,0.00669705867767334,17,0.00698165893554688,18,0.00689325332641602,15.5,0.0524022579193115,49,30
5,7,20,518.226576852798,19,0.00698540210723877,5,0.00679457187652588,20,0.00671238899230957,20,0.00722355842590332,17.6,0.0636898279190064,58,35
5,8,0,0,21,0.00659995079040527,5,0.00638442039489746,23,0.00641510486602783,23,0.00735139846801758,19.9,0.0717495203018188,67,40
5,9,0,0,23,0.00670022964477539,5,0.00625312328338623,25,0.00672709941864014,26,0.00683126449584961,22.2,0.0806111097335815,76,45
6,6,22,1158.78880045414,19,0.0164813756942749,6,0.0160098791122437,22,0.0154053449630737,22,0.0187394142150879,18.1,0.124982881546021,60,36
6,7,0,0,23,0.0159097909927368,6,0.0158702850341797,26,0.0154024124145508,26,0.0173040628433228,21.2,0.145191192626953,71,42
6,8,0,0,25,0.011267614364624,6,0.0162417888641357,29,0.015607738494873,30,0.0178977012634277,23.6,0.152331280708313,82,48
6,9,0,0,28,0.0162722110748291,6,0.0158558130264282,33,0.0154641389846802,34,0.0189523220062256,26.3,0.145551919937134,93,54
7,7,0,0,27,0.0146683216094971,7,0.015790057182312,28,0.0157975673675537,29,0.0182358026504517,23.8,0.16916241645813,84,49
7,8,0,0,29,0.0165382385253906,7,0.0161360502243042,32,0.0163120985031128,33,0.0195889711380005,27.6,0.14853048324585,97,56
7,9,0,0,33,0.0148126363754272,7,0.0163309812545776,35,0.0160373687744141,39,0.0196669101715088,30.6,0.199859571456909,110,63
8,8,0,0,33,0.0158177852630615,8,0.0140117883682251,37,0.0155395984649658,38,0.0201063394546509,30.7,0.198478078842163,112,64
8,9,0,0,38,0.0161391735076904,8,0.0162954807281494,43,0.0160804033279419,43,0.0212177753448486,34.4,0.240912580490112,127,72
9,9,0,0,43,0.0164913415908813,9,0.0162372350692749,49,0.0162929773330688,51,0.0249961137771606,38.3,0.288868021965027,144,81
