Nodes,Probability,Exact Algorithm Leaves,Exact Algorithm Time,Approx Algorithm Leaves,Approx Algorithm Time,BFS Leaves,BFS Time,Priority BFS Leaves,Priority BFS Time,Max Priority BFS Leaves,Max Priority BFS Time,Simulated Annealing Leaves,Simulated Annealing Time,Edges
10,0.1,5.3,0.0186468839645386,5.2,0.0131950855255127,4.8,0.0156822204589844,5.3,0.0155656814575195,5.3,0.0158483505249023,4.9,0.0712618827819824,9.8
10,0.2,5.2,0.0283014297485352,5,0.0240701675415039,4.2,0.0240939617156982,5.2,0.024000096321106,5.2,0.0241498470306397,4.9,0.0720616102218628,11.3
10,0.3,6.4,0.0253965616226196,6.2,0.0157365083694458,5.2,0.0149513006210327,6.3,0.0150167942047119,6.4,0.0191734075546265,5.7,0.0703630208969116,16.3
10,0.4,7.2,0.0245163679122925,6.5,0.0149734020233154,6,0.0145653247833252,7.1,0.0146965742111206,7.2,0.0151978015899658,6.8,0.0585508584976196,17.9
10,0.5,7.7,0.0262003898620605,7,0.0151268720626831,6.6,0.0142736434936523,7.4,0.0145812034606934,7.7,0.0146358013153076,6.6,0.0498717546463013,22.7
20,0.1,10.1,0.0971004962921143,10,0.0160945653915405,8.4,0.0167699337005615,9.8,0.0169147968292236,10.1,0.0242523431777954,9.5,0.0986937761306763,24.8
20,0.2,14.1,0.610742521286011,12.9,0.0143362283706665,11.3,0.0154625415802002,13.2,0.0153185844421387,14,0.0153033018112183,12.4,0.0829329490661621,40.2
20,0.3,15.5,1.26898345947266,13.8,0.015081262588501,12.7,0.0168334007263184,14.9,0.0160057067871094,15.5,0.0163808822631836,12.2,0.0939298152923584,56.9
20,0.4,17,1.20851719379425,15.2,0.0135982751846313,14.5,0.0136396884918213,16.3,0.0150443553924561,16.9,0.0151113986968994,12.5,0.0741480827331543,76.7
20,0.5,17.2,0.9079585313797,15.9,0.0153580904006958,15.8,0.0153241634368896,16.8,0.0159042596817017,17.2,0.0171292781829834,13.5,0.0776797294616699,95.2
30,0.1,19.1,4.32320957183838,17.3,0.0142911434173584,14.8,0.0156097888946533,18.1,0.0152781009674072,18.9,0.0160799741744995,16.4,0.117015838623047,49.7
30,0.2,23.7,53.2392287254334,20.9,0.0097609281539917,19.5,0.0100701332092285,22.1,0.0095872163772583,23.3,0.015267014503479,19.1,0.102932024002075,88
30,0.3,25.7,91.8559540748596,23,0.0130619525909424,21.6,0.0158140420913696,25,0.015537166595459,25.4,0.0164001703262329,20.3,0.109277677536011,131.9
30,0.4,26.4,49.3863656282425,24.1,0.0117563962936401,22.8,0.0156195640563965,25.5,0.0122062921524048,26.2,0.0151637554168701,20.7,0.100783944129944,166.8
30,0.5,27,18.7515854120255,25.6,0.0103328943252563,24.5,0.0124646663665771,26.5,0.0160515785217285,27,0.0174174070358276,21.3,0.0783312559127808,215.4
40,0.1,0,0,25.5,0.0149572849273682,22.1,0.0156677961349487,26.1,0.0151009559631348,28.1,0.0169539451599121,24,0.13315737247467,81.4
40,0.2,0,0,29.6,0.0162173271179199,27.5,0.0144749641418457,31.8,0.0156046628952026,33.4,0.0174768924713135,25.3,0.118468356132507,159.9
40,0.3,0,0,32.4,0.014692759513855,31.2,0.0163187980651855,33.6,0.016147518157959,34.9,0.0175434589385986,26.3,0.126469326019287,232.5
40,0.4,0,0,33.8,0.0165436267852783,32.6,0.0161535501480103,35.5,0.0160506010055542,36.1,0.0181399822235107,26.8,0.099600887298584,310.7
40,0.5,0,0,35,0.0131021499633789,34.7,0.0145712614059448,36.2,0.0159765720367432,37,0.0191306591033936,27.3,0.128306365013123,390.1
